,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,target
47,0,4,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,50,50,5,2,Maybe
48,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,2,1,0,0,2,2,2,1,1,1,49,49,8,2,Maybe
49,0,4,1,3,2,1,1,2,5,1,1,2,0,0,0,1,1,0,0,1,2,1,0,1,0,0,50,50,10,0,Yes
50,0,2,1,1,0,1,1,0,3,0,0,1,1,0,0,1,1,4,0,0,1,0,2,1,0,1,3,2,4,1,Yes
51,0,4,1,3,2,1,1,2,5,0,0,2,2,0,0,2,2,0,0,0,1,2,1,0,2,1,50,50,5,2,No
52,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,0,0,1,1,2,1,1,0,0,1,34,33,5,2,No
53,0,5,1,3,2,1,2,0,2,0,0,0,2,2,0,0,1,0,1,2,2,2,2,1,0,1,50,50,10,2,Yes
54,0,3,0,3,2,1,1,0,0,0,1,0,0,0,0,0,1,3,0,1,2,1,0,1,0,1,50,50,0,0,Maybe
55,0,5,0,3,1,2,2,0,2,0,0,2,2,0,0,1,1,0,1,1,2,1,1,0,0,0,50,50,8,2,No
56,0,2,1,3,2,1,2,0,3,1,1,2,2,2,0,0,0,0,1,1,2,2,0,1,0,1,50,50,5,1,Maybe
57,0,1,0,3,2,1,0,2,2,0,1,0,2,1,0,2,1,3,0,0,0,2,0,0,0,1,11,10,10,1,Maybe
58,0,4,0,3,0,1,1,0,2,1,1,1,0,0,0,0,1,1,0,1,2,0,0,0,1,0,50,50,5,2,Maybe
59,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,0,1,1,2,0,1,0,1,1,50,50,0,2,No
60,0,5,1,3,0,2,2,0,1,1,1,0,2,1,0,0,0,3,3,0,0,0,1,0,1,1,21,20,0,2,Maybe
61,0,2,0,2,0,1,1,0,4,2,1,1,0,1,0,2,0,3,3,0,2,1,2,1,2,1,49,49,3,1,Maybe
62,0,2,1,3,2,1,1,0,3,1,1,2,2,0,0,0,0,0,1,3,2,1,1,0,0,1,50,50,10,2,No
63,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,1,1,3,3,3,2,0,0,0,2,1,51,51,5,0,Maybe
64,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,1,1,0,0,1,2,1,1,0,0,1,49,49,8,2,No
65,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,1,1,1,1,1,2,1,1,0,0,1,34,33,7,2,No
66,0,4,0,1,2,1,1,0,2,0,1,0,0,1,1,2,1,3,3,2,2,2,2,1,0,0,50,50,10,1,Yes
67,0,5,1,3,0,2,2,0,1,0,0,1,1,0,0,2,1,3,3,3,2,2,2,1,2,1,50,50,0,0,Yes
68,0,1,1,3,0,1,0,2,0,0,0,1,0,0,0,0,1,3,0,1,2,2,0,0,2,1,50,50,5,1,No
69,0,2,0,1,2,1,0,2,5,1,1,1,2,2,0,1,1,0,3,1,2,0,2,1,2,1,34,33,0,2,Maybe
70,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,0,0,1,0,0,1,2,1,0,1,39,38,0,2,No
71,0,1,1,3,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,1,2,1,1,0,2,1,6,5,11,2,No
72,0,4,0,0,1,1,1,0,4,2,0,1,1,1,0,1,1,3,3,1,2,2,1,0,1,1,50,50,4,2,No
73,0,0,1,1,1,1,0,0,5,1,1,2,2,0,0,2,2,0,1,1,2,1,2,1,1,1,34,33,5,2,No
74,0,2,1,3,2,1,1,2,5,1,1,0,2,2,0,0,1,0,1,1,2,2,0,0,0,1,50,50,0,0,Maybe
75,0,2,1,1,0,1,1,0,5,1,1,0,2,0,0,0,1,0,1,1,2,2,1,0,1,1,34,33,5,2,No
76,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,1,1,1,3,0,2,0,2,0,2,1,21,20,0,1,Yes
77,0,4,1,0,0,1,1,1,3,1,1,2,0,2,0,0,0,0,1,1,2,1,1,0,0,0,34,33,5,1,No
78,0,2,1,0,0,1,0,0,2,0,1,1,1,1,0,2,1,0,0,1,2,1,1,0,0,1,50,50,5,2,No
79,0,2,1,3,2,1,2,2,5,1,1,0,2,2,0,2,0,0,1,1,2,2,2,1,0,1,50,50,0,0,Yes
80,0,0,1,3,2,1,0,2,0,1,1,0,2,0,0,1,1,0,0,1,2,1,1,0,2,1,49,49,0,1,No
81,0,0,1,1,1,1,1,0,4,0,0,1,1,0,1,1,1,0,0,2,2,2,2,0,0,1,8,7,0,1,Yes
82,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,1,0,0,3,2,2,2,1,0,1,11,10,0,2,Yes
83,0,2,1,0,0,1,0,2,3,1,1,0,2,2,0,2,0,1,1,1,2,1,1,0,0,1,50,50,0,2,No
84,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,1,1,0,0,0,1,2,2,1,0,1,21,20,7,2,Yes
85,0,4,1,3,1,1,0,0,1,0,1,1,0,1,0,0,2,0,0,2,2,1,0,0,1,1,50,50,5,1,Maybe
86,0,2,1,0,1,1,1,0,2,0,1,0,0,1,0,2,1,3,0,1,2,1,0,0,1,1,11,10,0,1,Maybe
87,0,2,1,0,0,1,0,0,2,0,1,1,1,1,0,0,0,4,4,2,1,0,2,1,0,1,49,49,0,2,Yes
88,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,0,1,2,1,2,0,0,1,0,1,50,50,5,2,Maybe
89,0,2,1,0,0,2,2,2,5,1,1,0,0,2,0,1,1,1,1,1,2,2,2,1,2,0,50,50,0,2,Yes
90,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,0,2,1,0,1,8,7,8,1,No
91,0,5,1,3,2,0,2,0,1,0,0,0,0,0,0,1,1,3,3,1,2,2,2,1,0,1,50,50,0,2,Maybe
92,0,4,1,1,0,2,0,0,1,1,1,0,2,2,0,2,0,0,0,0,1,1,1,0,2,1,49,49,10,2,Yes
93,0,4,1,1,0,1,1,0,2,2,1,1,2,1,1,2,2,0,3,3,2,1,1,0,2,1,8,7,5,0,No
94,0,4,0,0,0,1,1,0,1,1,1,0,2,0,0,0,0,0,0,1,2,1,2,1,2,0,50,50,5,2,Yes
95,0,1,1,3,0,1,0,0,1,1,1,0,0,0,0,2,1,1,0,1,2,2,2,1,2,1,50,50,0,2,Yes
96,0,2,1,0,0,1,0,0,5,1,1,0,0,0,0,1,1,3,3,3,2,1,1,0,0,0,50,50,5,0,No
97,0,2,1,0,0,2,0,2,0,1,1,1,1,2,0,0,0,0,1,1,2,0,1,0,1,1,50,50,0,2,No
98,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,0,3,0,3,2,2,2,0,0,1,34,33,4,2,Yes
99,0,1,1,3,2,1,1,0,2,0,1,0,2,1,0,1,1,0,0,1,2,2,2,1,2,0,50,50,0,2,Yes
100,0,3,1,3,1,0,0,0,1,0,1,1,1,0,0,1,1,3,3,1,2,1,1,0,1,1,50,50,3,2,No
101,0,1,1,0,1,1,1,0,0,2,1,0,2,1,0,0,1,3,0,1,2,0,2,1,2,1,50,50,0,2,Yes
102,0,4,1,0,0,1,1,0,1,1,1,2,2,0,0,2,2,0,0,1,2,2,1,0,0,1,50,50,0,2,No
103,0,2,1,0,0,0,0,0,5,0,0,1,1,0,0,1,1,3,3,1,2,2,0,0,2,2,50,50,1,2,No
104,0,2,1,1,0,1,1,0,2,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,1,34,33,0,1,Maybe
105,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,1,3,3,0,2,1,2,1,0,1,50,50,5,0,Maybe
106,0,2,1,3,2,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,1,2,2,1,0,0,50,50,0,1,Maybe
107,0,5,1,3,2,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,50,50,10,0,Yes
108,0,4,1,3,2,1,1,2,5,1,1,1,2,2,0,1,1,3,1,1,2,1,2,1,0,1,50,50,5,2,Yes
109,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,2,1,1,1,2,0,2,1,0,1,17,16,5,1,Yes
110,0,1,0,0,1,1,0,0,3,1,1,2,2,0,0,2,2,0,0,0,2,1,1,0,0,1,50,50,1,2,Maybe
111,0,2,1,3,2,2,2,2,5,1,1,2,2,2,0,2,1,0,1,1,2,2,2,1,0,1,50,50,0,0,Yes
112,0,5,1,3,0,1,0,0,2,2,1,1,1,0,0,1,1,3,0,1,2,2,0,0,0,1,50,50,5,2,Maybe
113,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,0,4,3,3,1,2,1,1,2,1,16,15,5,2,No
114,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,2,3,3,3,2,2,2,0,0,0,6,5,0,0,Yes
115,0,2,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,3,1,50,50,4,2,No
116,0,2,0,0,1,1,1,0,0,1,1,0,2,0,0,0,0,2,0,1,2,2,2,1,2,1,50,50,5,2,Yes
