Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q37,Q39,Q41,Q42,Q44,Q45,Q46,Q47,Q53,Q56,Q57,Q58,Q60,Q62,Q63,target
0,2,1,3,2,1,1,2,2,0,1,0,0,2,0,0,0,3,0,3,0,2,2,1,1,1,50,50,5,1,Yes
0,0,1,1,1,1,1,1,3,1,1,0,2,1,0,2,0,0,1,1,2,1,1,0,2,1,17,16,0,2,No
0,1,1,3,2,2,2,2,3,1,1,2,2,2,0,0,0,1,2,1,2,0,2,1,0,1,50,50,5,2,Yes
0,1,1,3,2,0,2,2,2,1,1,2,2,2,0,0,1,0,0,0,1,2,0,1,0,0,50,50,6,1,No
0,5,1,3,1,1,0,0,5,1,1,2,2,2,0,0,0,1,0,1,2,1,2,1,1,1,50,50,0,2,Yes
0,3,1,3,1,1,0,0,5,0,1,0,0,0,0,2,1,3,3,0,2,1,2,1,0,1,50,50,0,2,Maybe
0,3,1,3,0,0,2,0,3,0,1,0,0,2,0,0,0,0,0,1,2,2,2,1,2,1,50,50,0,0,Yes
1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,0,0,3,0,2,1,0,0,2,1,6,5,0,2,Maybe
0,2,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,2,2,1,0,2,1,22,21,0,2,No
1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,0,0,0,1,2,1,0,1,1,1,49,49,8,2,Maybe
0,5,1,3,2,1,1,0,2,0,0,2,2,0,0,0,0,0,0,3,0,1,2,1,1,0,50,50,3,2,Yes
0,2,1,1,0,1,1,0,3,0,1,2,2,1,0,2,1,3,0,1,2,0,2,1,0,1,49,49,0,1,Yes
0,1,1,0,1,1,1,0,3,0,1,0,0,0,0,0,1,0,2,3,1,2,2,1,0,1,46,45,0,2,Yes
1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,0,0,1,1,2,2,2,1,0,1,49,49,2,0,Yes
0,3,1,3,2,2,2,2,1,0,1,2,0,2,0,2,1,0,0,0,1,2,2,1,0,1,50,50,4,2,No
0,5,1,3,2,1,2,0,2,2,0,1,1,1,0,0,1,3,3,1,2,2,2,1,1,1,50,50,0,2,Yes
0,1,1,3,2,1,2,2,2,0,1,0,2,2,0,0,1,3,3,0,2,2,2,1,0,0,50,50,11,0,Maybe
0,2,1,0,0,1,0,2,5,1,1,2,2,0,0,2,2,1,1,1,2,1,1,0,0,1,49,49,0,0,No
0,3,1,0,1,1,0,2,3,1,1,2,2,2,0,1,1,3,3,1,2,1,0,0,2,1,41,40,5,2,Maybe
0,3,1,3,2,1,2,0,3,1,1,2,2,1,1,1,2,0,2,3,1,2,2,1,2,2,50,50,8,2,Yes
0,1,1,0,0,1,1,0,2,0,1,0,2,2,0,2,1,0,0,0,2,1,2,1,2,1,50,50,5,0,Maybe
0,4,1,2,0,1,1,1,3,1,1,0,0,2,0,0,0,1,1,1,2,1,1,0,2,1,49,49,10,2,No
